,id,stateabb,ccode,year,milex,milper,irst,pec,tpop,upop,cinc,version
55,55,USA,2,1871,11811,42,1735,39546,40938,4302,0.09838095,2011
56,56,USA,2,1872,14246,42,2590,48479,41972,4481,0.1152826,2011
57,57,USA,2,1873,15014,43,2602,53674,43006,4667,0.11626876,2011
58,58,USA,2,1874,12899,44,2439,51736,44040,4862,0.11424514,2011
59,59,USA,2,1875,11720,38,2057,52194,45073,5064,0.10696469,2011
60,60,USA,2,1876,10749,41,1899,51080,46107,5275,0.10191685,2011
61,61,USA,2,1877,9074,34,2100,56754,47141,5495,0.10465261,2011
62,62,USA,2,1878,11367,36,2338,55588,48174,5724,0.10834531,2011
63,63,USA,2,1879,10527,38,2786,67742,49208,5962,0.12033306,2011
64,64,USA,2,1880,11414,38,3896,76969,50262,6211,0.1254597,2011
65,65,USA,2,1881,11973,38,4211,81416,51542,6494,0.12642455,2011
66,66,USA,2,1882,13040,38,4697,91087,52821,6789,0.1310108,2011
67,67,USA,2,1883,11425,37,4669,97750,54100,7099,0.13134626,2011
68,68,USA,2,1884,11438,39,4164,102689,55379,7422,0.13138734,2011
69,69,USA,2,1885,9748,39,4110,103359,56658,7761,0.13126135,2011
70,70,USA,2,1886,10382,39,5774,107964,57938,8114,0.1461353,2011
71,71,USA,2,1887,10765,39,6520,123077,59217,8484,0.15109947,2011
72,72,USA,2,1888,12647,39,6594,139275,60496,8871,0.1523269,2011
73,73,USA,2,1889,13195,39,7726,133959,61775,9275,0.15484266,2011
74,74,USA,2,1890,14788,39,9350,150826,63056,9698,0.16539624,2011
75,75,USA,2,1891,15315,38,8412,162044,64361,10075,0.1655897,2011
76,76,USA,2,1892,15654,39,9304,171105,65666,10467,0.17333591,2011
77,77,USA,2,1893,16964,39,7238,172586,66970,10874,0.16572861,2011
78,78,USA,2,1894,16001,42,6764,161748,68275,11298,0.15442234,2011
79,79,USA,2,1895,15187,42,9598,182744,69580,11737,0.16809899,2011
80,80,USA,2,1896,16382,42,8762,183531,70885,12194,0.16001122,2011
81,81,USA,2,1897,30249,44,9808,190740,72189,12669,0.16910996,2011
82,82,USA,2,1898,60011,236,11963,207271,73494,13162,0.19706185,2011
83,83,USA,2,1899,38588,100,13839,236406,74799,13674,0.18547629,2011
84,84,USA,2,1900,41481,126,10352,256081,76094,14207,0.18799882,2011
85,85,USA,2,1901,36087,112,13690,280242,77584,14723,0.2026186,2011
86,86,USA,2,1902,39722,111,15187,300106,79163,15258,0.2076682,2011
87,87,USA,2,1903,43814,106,14768,356268,80632,15812,0.21049646,2011
88,88,USA,2,1904,47918,110,14082,353388,82166,16387,0.20494163,2011
89,89,USA,2,1905,45098,108,20345,397156,83822,16982,0.21378319,2011
90,90,USA,2,1906,43602,112,23774,419190,85450,17600,0.21827872,2011
91,91,USA,2,1907,58725,108,23737,487862,87008,18239,0.22772999,2011
92,92,USA,2,1908,54189,129,14248,432351,88710,18902,0.20318815,2011
93,93,USA,2,1909,56177,142,24339,478835,90490,19589,0.22519203,2011
94,94,USA,2,1910,55880,139,26512,523027,92407,20302,0.2264824,2011
95,95,USA,2,1911,57157,145,24056,521004,93863,21039,0.21620536,2011
96,96,USA,2,1912,58992,153,31753,557076,95335,21804,0.22481573,2011
97,97,USA,2,1913,62825,155,31803,600107,97225,22596,0.2199113,2011
98,98,USA,2,1914,253205,166,23890,556778,99111,23340,0.20636405,2011
99,99,USA,2,1915,257648,174,32667,580731,100546,24008,0.2220827,2011
100,100,USA,2,1916,277421,179,43460,646120,101961,24688,0.23293602,2011
101,101,USA,2,1917,658584,644,45784,710959,103268,25310,0.24402818,2011
102,102,USA,2,1918,7014226,2897,45176,743925,103208,26020,0.29487148,2011
103,103,USA,2,1919,11217796,1173,35228,648393,104514,26723,0.38128334,2011
104,104,USA,2,1920,1657118,343,42809,743808,106461,27428,0.28956637,2011
105,105,USA,2,1921,1116342,387,20101,622541,108538,28210,0.2532295,2011
106,106,USA,2,1922,860853,270,36173,641311,110049,29013,0.2555951,2011
107,107,USA,2,1923,678256,247,45665,834889,111947,29840,0.27207768,2011
108,108,USA,2,1924,570142,261,38540,762070,114109,30690,0.25359103,2011
109,109,USA,2,1925,589706,252,46122,790029,115829,31565,0.25404567,2011
110,110,USA,2,1926,558004,247,49069,852304,117397,32464,0.26326758,2011
111,111,USA,2,1927,596501,249,45656,842978,119035,33389,0.23862661,2011
112,112,USA,2,1928,678100,251,52371,833446,120509,34340,0.2400723,2011
113,113,USA,2,1929,701300,255,57339,903141,121767,35318,0.23979345,2011
114,114,USA,2,1930,699200,256,41352,814891,123188,36326,0.22811012,2011
115,115,USA,2,1931,698900,253,26363,709367,124149,36360,0.21601571,2011
116,116,USA,2,1932,641600,245,13901,612400,124949,36424,0.19717696,2011
117,117,USA,2,1933,570400,244,23605,649968,125690,36518,0.20514032,2011
118,118,USA,2,1934,803100,247,26474,689998,126485,36644,0.19744284,2011
119,119,USA,2,1935,806400,252,34640,721900,127362,36843,0.19324611,2011
120,120,USA,2,1936,932600,291,48534,825460,128181,36995,0.20598476,2011
121,121,USA,2,1937,1032900,312,51380,869666,128961,37229,0.20089963,2011
122,122,USA,2,1938,1131499,323,28805,751346,129969,37463,0.1707712,2011
123,123,USA,2,1939,980000,334,47898,829091,131028,37772,0.18197109,2011
124,124,USA,2,1940,1657000,458,60765,939812,132122,37988,0.20190711,2011
125,125,USA,2,1941,6301000,1801,75150,1031214,133402,38183,0.24449451,2011
126,126,USA,2,1942,26001000,3859,78047,1103469,134860,38377,0.2854552,2011
127,127,USA,2,1943,72109000,9045,80592,1169553,136739,38554,0.3456322,2011
128,128,USA,2,1944,87000000,11452,81322,1247643,138397,38898,0.3506417,2011
129,129,USA,2,1945,90000000,12123,72304,1219068,139928,39100,0.38386354,2011
130,130,USA,2,1946,45133984,3030,60421,1188144,141389,39725,0.36398837,2011
131,131,USA,2,1947,14315999,1583,77015,1315777,144126,40857,0.30994186,2011
132,132,USA,2,1948,10960998,1446,80413,1396394,147208,42019,0.2946597,2011
133,133,USA,2,1949,13503000,1615,70740,1199344,149767,43216,0.27316636,2011
134,134,USA,2,1950,14559000,1460,87848,1241836,152271,43964,0.28444302,2011
135,135,USA,2,1951,33398000,3249,95435,1325948,154878,44711,0.31949946,2011
136,136,USA,2,1952,47852000,3636,84520,1309824,157553,45123,0.31136742,2011
137,137,USA,2,1953,49621008,3555,101250,1347597,160184,46581,0.31115836,2011
138,138,USA,2,1954,42786000,3302,80115,1302449,163026,47007,0.2809401,2011
139,139,USA,2,1955,40518000,2935,106173,1415958,165931,47688,0.26642248,2011
140,140,USA,2,1956,41773008,2806,104522,1492506,168903,48389,0.2606138,2011
141,141,USA,2,1957,44548000,2796,102253,1494767,171984,49087,0.2550486,2011
142,142,USA,2,1958,45503008,2411,77342,1437859,174882,49733,0.23446997,2011
143,143,USA,2,1959,46614000,2328,84773,1513627,177830,50320,0.22896473,2011
144,144,USA,2,1960,45380000,2306,90067,1421218,180671,50966,0.21544383,2011
145,145,USA,2,1961,47808000,2307,88917,1447002,183691,50941,0.21065485,2011
146,146,USA,2,1962,52381008,2807,89202,1508570,186538,50916,0.20991142,2011
147,147,USA,2,1963,52295008,2700,99120,1589655,189242,50891,0.20796648,2011
148,148,USA,2,1964,51213008,2687,115281,1610682,191889,50866,0.20298257,2011
149,149,USA,2,1965,51827008,2660,119260,1700357,194303,50841,0.2015391,2011
150,150,USA,2,1966,67572000,3090,121655,1784048,196560,50815,0.20866945,2011
151,151,USA,2,1967,75448000,3380,115406,1903194,198712,50790,0.20854811,2011
152,152,USA,2,1968,80732000,3550,119262,2094353,200706,50765,0.20341188,2011
153,153,USA,2,1969,81446000,3460,128152,2198902,202677,53117,0.19795081,2011
154,154,USA,2,1970,77827008,3070,119309,2276904,205052,55468,0.18096918,2011
155,155,USA,2,1971,74862000,2720,109265,2311854,207661,55560,0.16995624,2011
156,156,USA,2,1972,77639000,2323,120875,2396418,209896,55652,0.16474316,2011
157,157,USA,2,1973,78385000,2206,136804,2490304,211909,55743,0.15881944,2011
158,158,USA,2,1974,85906000,2146,132196,2430725,213854,55736,0.1526986,2011
159,159,USA,2,1975,90948000,2098,105897,2393766,215973,55728,0.14394777,2011
160,160,USA,2,1976,91013000,2075,116121,2536257,218035,55721,0.14246269,2011
161,161,USA,2,1977,100925000,2060,113701,2619481,220239,55713,0.14182441,2011
162,162,USA,2,1978,109247000,2060,124314,2612982,222585,56208,0.13967438,2011
163,163,USA,2,1979,122279000,2033,123688,2659868,225055,56702,0.1372161,2011
164,164,USA,2,1980,143981000,2050,101456,2584210,227726,57197,0.13311459,2011
165,165,USA,2,1981,169888000,2101,109614,2502657,229966,57825,0.13800748,2011
166,166,USA,2,1982,196345000,2168,67656,2380353,232188,58453,0.1295889,2011
167,167,USA,2,1983,217198000,2201,76762,2378677,234307,58856,0.1329419,2011
168,168,USA,2,1984,237052000,2222,83940,2467563,236348,59259,0.13559404,2011
169,169,USA,2,1985,245154000,2244,80067,2466405,238466,60260,0.13731459,2011
170,170,USA,2,1986,265480000,2269,74032,2468629,240651,61261,0.13528731,2011
171,171,USA,2,1987,273966000,2280,80876,2561765,242804,61975,0.13402958,2011
172,172,USA,2,1988,281935000,2250,90631,2669996,245021,62689,0.13446976,2011
173,173,USA,2,1989,294880000,2240,87722,2745073,247342,63402,0.14823899,2011
174,174,USA,2,1990,289755000,2180,89726,2798225,249907,64116,0.14133178,2011
175,175,USA,2,1991,262389000,2110,79738,2827021,252618,64814,0.13724636,2011
176,176,USA,2,1992,286892000,1920,84322,2856725,255391,65413,0.14831357,2011
177,177,USA,2,1993,297600000,1810,88793,2921265,258132,66072,0.15351611,2011
178,178,USA,2,1994,293214000,1710,91244,2962511,260602,66457,0.14563641,2011
179,179,USA,2,1995,277834000,1620,95191,2996708,262755,66945,0.14033648,2011
180,180,USA,2,1996,277254000,1570,95535,3055692,265284,67433,0.13836801,2011
181,181,USA,2,1997,276324000,1530,98485,3114015,267901,68503,0.13952261,2011
182,182,USA,2,1998,279702000,1510,98658,3126886,274028,69572,0.14164418,2011
183,183,USA,2,1999,292147000,1490,97427,3161089,276218,70642,0.14262493,2011
184,184,USA,2,2000,303136000,1366,101803,3283713,278357,75342,0.14280474,2011
185,185,USA,2,2001,322365000,1368,90104,3184088,285112,76419,0.14145711,2011
186,186,USA,2,2002,348555000,1414,91587,3227356,290270,157321,0.1537646,2011
187,187,USA,2,2003,404920000,1427,93677,3243291,292883,159669,0.15191847,2011
188,188,USA,2,2004,455908000,1450,99681,3267987,295487,162073,0.15152925,2011
189,189,USA,2,2005,495326000,1474,94897,3267376,298166,164533,0.15651886,2011
190,190,USA,2,2006,521840000,1546,98557,3245355,300943,166465,0.15443048,2011
191,191,USA,2,2007,552568000,1506,98102,3309846,303787,169391,0.14979762,2011
192,192,USA,2,2008,616073000,1498,91350,3258569,306657,172381,0.14787029,2011
193,193,USA,2,2009,662049000,1540,58196,3108946,309492,175133,0.14598629,2011
194,194,USA,2,2010,693600000,1580,80495,3211935,312247,177349,0.14809784,2011
195,195,USA,2,2011,687000000,1564,86398,3206262,314912,180792,0.14329104,2011
196,196,USA,2,2012,655388000,1569,88695,3159873,317505,183712,0.13935262,2011
197,197,CAN,20,1920,10755,4,1118,31979,8556,1598,0.01012836,2011
198,198,CAN,20,1921,10209,4,678,30630,8788,1659,0.010542275,2011
199,199,CAN,20,1922,10028,4,494,26533,8919,1708,0.008407704,2011
200,200,CAN,20,1923,13316,4,899,35626,9010,1760,0.009860509,2011
201,201,CAN,20,1924,12824,4,661,29947,9143,1822,0.008894653,2011
202,202,CAN,20,1925,12984,4,765,29242,9294,1893,0.008703875,2011
203,203,CAN,20,1926,13936,4,789,33207,9451,1971,0.009239979,2011
204,204,CAN,20,1927,16745,4,922,36491,9637,2054,0.009370318,2011
205,205,CAN,20,1928,18862,5,1255,37299,9835,2119,0.009702178,2011
206,206,CAN,20,1929,21058,4,1400,40842,10029,2187,0.009802969,2011
207,207,CAN,20,1930,22649,5,1026,39101,10208,2256,0.009788225,2011
208,208,CAN,20,1931,18263,6,683,31481,10377,2328,0.009185022,2011
209,209,CAN,20,1932,11999,5,345,29101,10510,2361,0.0086330045,2011
210,210,CAN,20,1933,17149,5,417,29070,10633,2397,0.008430708,2011
211,211,CAN,20,1934,12943,5,770,33577,10741,2426,0.008908479,2011
212,212,CAN,20,1935,24921,4,957,33523,10845,2459,0.008736302,2011
213,213,CAN,20,1936,24762,6,1134,36524,10950,2490,0.008648089,2011
214,214,CAN,20,1937,32419,6,1425,39978,11045,2526,0.008926132,2011
215,215,CAN,20,1938,35282,6,1174,36854,11152,2560,0.008716589,2011
216,216,CAN,20,1939,125700,6,1407,40964,11267,2589,0.009091147,2011
217,217,CAN,20,1940,730100,21,2045,46411,11381,2617,0.012058837,2011
218,218,CAN,20,1941,1038380,280,2460,51156,11507,2645,0.01507905,2011
219,219,CAN,20,1942,2321324,400,2821,55917,11654,2690,0.017143585,2011
220,220,CAN,20,1943,3841192,740,2725,58587,11795,2738,0.018521491,2011
221,221,CAN,20,1944,3622309,728,2736,60382,11946,2790,0.01697485,2011
222,222,CAN,20,1945,2664365,801,2611,56093,12072,2845,0.017041938,2011
223,223,CAN,20,1946,1552759,46,2111,59632,12292,2903,0.015643977,2011
224,224,CAN,20,1947,385771,43,2672,62009,12551,2972,0.013187969,2011
225,225,CAN,20,1948,195025,40,2903,68228,13167,3041,0.012592783,2011
226,226,CAN,20,1949,370149,47,2892,63490,13475,3113,0.012812718,2011
227,227,CAN,20,1950,447964,45,3070,60887,13737,3186,0.012605249,2011
228,228,CAN,20,1951,1150942,62,3237,64945,14050,3261,0.013534874,2011
229,229,CAN,20,1952,1843656,102,3359,64874,14496,3337,0.014203724,2011
230,230,CAN,20,1953,2028835,104,3734,67118,14886,3415,0.014219755,2011
231,231,CAN,20,1954,1818274,108,2898,67691,15330,3496,0.01334111,2011
232,232,CAN,20,1955,1883021,112,4114,72628,15736,3578,0.013189279,2011
233,233,CAN,20,1956,1889889,116,4809,83921,16123,3664,0.013735953,2011
234,234,CAN,20,1957,1905207,121,4598,82785,16677,3750,0.013207524,2011
235,235,CAN,20,1958,1766497,119,3955,84364,17120,3841,0.012597365,2011
236,236,CAN,20,1959,1703318,120,5354,90080,17522,3934,0.012827507,2011
237,237,CAN,20,1960,1735570,121,5270,94926,17909,4049,0.012444773,2011
238,238,CAN,20,1961,1722891,124,5886,99412,18238,4154,0.012568495,2011
239,239,CAN,20,1962,1735210,124,6507,109109,18614,4247,0.012630004,2011
240,240,CAN,20,1963,1588421,120,7436,112561,18964,4399,0.012449234,2011
241,241,CAN,20,1964,1677304,120,8282,128155,19325,4554,0.012758554,2011
242,242,CAN,20,1965,1544548,120,9132,135644,19678,4702,0.012746997,2011
243,243,CAN,20,1966,1642790,110,9093,141051,20048,4645,0.012184688,2011
244,244,CAN,20,1967,1813063,105,8797,151902,20412,4669,0.012022597,2011
245,245,CAN,20,1968,1782772,105,10161,168715,20729,4692,0.011931072,2011
246,246,CAN,20,1969,1770133,100,9350,172706,21028,4806,0.011099377,2011
247,247,CAN,20,1970,1920602,95,11198,188188,21297,4920,0.011354282,2011
248,248,CAN,20,1971,2110319,85,11040,199928,22962,5035,0.011483858,2011
249,249,CAN,20,1972,2260834,90,11859,221405,22220,5149,0.011642309,2011
250,250,CAN,20,1973,2404759,82,13386,235183,22494,5263,0.011570494,2011
251,251,CAN,20,1974,2926380,82,13623,242091,22808,5377,0.011733489,2011
252,252,CAN,20,1975,3074729,78,13025,243749,23142,5432,0.011700832,2011
253,253,CAN,20,1976,3639959,78,13290,252431,23450,5487,0.011637148,2011
254,254,CAN,20,1977,3877762,78,13581,265585,23726,5543,0.011730049,2011
255,255,CAN,20,1978,4016964,79,14898,269236,23964,5598,0.011650193,2011
256,256,CAN,20,1979,4119005,79,16078,288132,24202,5653,0.011783425,2011
257,257,CAN,20,1980,4387240,82,15901,286861,24516,5713,0.011760736,2011
258,258,CAN,20,1981,5246444,81,14811,278108,24820,6604,0.011713711,2011
259,259,CAN,20,1982,6182339,81,11871,259635,25117,6989,0.011110692,2011
260,260,CAN,20,1983,6562003,81,12832,257445,25367,7374,0.011199301,2011
261,261,CAN,20,1984,7195604,82,14699,273560,25608,7759,0.011621215,2011
262,262,CAN,20,1985,6809000,83,13459,270146,25843,8144,0.011122531,2011
263,263,CAN,20,1986,7180000,85,14081,260704,26101,8530,0.011070147,2011
264,264,CAN,20,1987,7960000,86,14737,275213,26450,8915,0.011249618,2011
265,265,CAN,20,1988,8830000,88,15193,289860,26798,9300,0.011349193,2011
266,266,CAN,20,1989,9480000,88,15458,300105,27286,9685,0.011969967,2011
267,267,CAN,20,1990,10280000,87,12281,286093,27701,10070,0.01097362,2011
268,268,CAN,20,1991,11420000,86,12987,282095,28031,10455,0.011694604,2011
269,269,CAN,20,1992,10310000,82,13924,288704,28377,10686,0.012016823,2011
270,270,CAN,20,1993,9600000,76,14387,297854,28703,10918,0.011977279,2011
271,271,CAN,20,1994,9695000,75,13897,304045,29036,11149,0.011647305,2011
272,272,CAN,20,1995,9126000,70,14415,309058,29354,11381,0.011420418,2011
273,273,CAN,20,1996,8624000,66,14735,320305,29672,11612,0.011306934,2011
274,274,CAN,20,1997,7801000,61,15553,329246,30004,11751,0.011165077,2011
275,275,CAN,20,1998,7677000,60,15930,329262,30563,11892,0.011329183,2011
276,276,CAN,20,1999,8395000,60,16235,338228,30857,12035,0.011470187,2011
277,277,CAN,20,2000,8320000,59,16595,353644,31147,12178,0.011271857,2011
278,278,CAN,20,2001,7745000,57,15276,352264,31021,12323,0.01077042,2011
279,279,CAN,20,2002,8522000,52,16002,353094,31284,17884,0.01154116,2011
280,280,CAN,20,2003,10102000,52,15929,371879,31592,18134,0.011349772,2011
281,281,CAN,20,2004,11501000,57,16305,372133,31914,18389,0.011073219,2011
282,282,CAN,20,2005,13224000,62,15327,375945,32253,18647,0.010998087,2011
283,283,CAN,20,2006,15103000,62,15493,373411,32611,18911,0.010833494,2011
284,284,CAN,20,2007,18491000,63,15572,365505,32986,19188,0.010759114,2011
285,285,CAN,20,2008,19836000,64,14845,358309,33370,19471,0.010446884,2011
286,286,CAN,20,2009,19575000,64,9286,337361,33753,19757,0.0095467465,2011
287,287,CAN,20,2010,20240000,66,13013,338529,34126,20049,0.00966304,2011
288,288,CAN,20,2011,20081000,66,12967,337412,34487,20345,0.009340329,2011
289,289,CAN,20,2012,18445000,66,13507,343023,34838,20647,0.009155191,2011
290,290,BHM,31,1973,0,0,0,19010,181,0,0.00035652413,2011
291,291,BHM,31,1974,0,0,0,15960,185,0,0.00029933747,2011
292,292,BHM,31,1975,0,0,0,15446,189,0,0.00028854384,2011
293,293,BHM,31,1976,5500,0,0,13080,193,0,0.00023482335,2011
294,294,BHM,31,1977,4800,0,0,20516,197,0,0.00035021652,2011
295,295,BHM,31,1978,4900,0,0,13337,201,0,0.00022499902,2011
296,296,BHM,31,1979,2700,0,0,12245,206,0,0.00019967771,2011
297,297,BHM,31,1980,5000,0,0,14391,210,135,0.0002576723,2011
298,298,BHM,31,1981,6600,0,0,11266,214,139,0.00021216812,2011
299,299,BHM,31,1982,9000,0,0,12330,218,143,0.00022998851,2011
300,300,BHM,31,1983,8000,0,0,11071,223,146,0.00020664366,2011
301,301,BHM,31,1984,8600,0,0,8535,227,150,0.0001618642,2011
302,302,BHM,31,1985,9600,1,0,1361,232,154,5.924832E-05,2011
303,303,BHM,31,1986,11100,0,0,111,236,157,3.4925233E-05,2011
304,304,BHM,31,1987,14337,0,0,111,241,159,3.4910707E-05,2011
305,305,BHM,31,1988,77700,0,0,112,246,163,4.6036024E-05,2011
306,306,BHM,31,1989,66500,2,0,114,251,165,5.842899E-05,2011
307,307,BHM,31,1990,65700,1,0,117,255,172,5.1123334E-05,2011
308,308,BHM,31,1991,48000,0,0,139,260,177,4.3185988E-05,2011
309,309,BHM,31,1992,17800,1,0,143,264,182,4.4404343E-05,2011
310,310,BHM,31,1993,,1,0,150,269,187,4.788981E-05,2011
311,311,BHM,31,1994,20000,0,0,157,274,192,3.648368E-05,2011
312,312,BHM,31,1995,19000,0,0,160,279,195,3.5468198E-05,2011
313,313,BHM,31,1996,22000,0,0,165,284,199,3.5158875E-05,2011
314,314,BHM,31,1997,22000,0,0,174,289,203,3.4725028E-05,2011
315,315,BHM,31,1998,26000,0,0,188,296,207,3.5485045E-05,2011
316,316,BHM,31,1999,26000,1,0,197,301,211,4.279496E-05,2011
317,317,BHM,31,2000,30000,1,0,209,307,214,4.316318E-05,2011
318,318,BHM,31,2001,29000,1,0,218,308,217,4.3116048E-05,2011
319,319,BHM,31,2002,28000,1,0,236,309,0,2.4245148E-05,2011
320,320,BHM,31,2003,33000,1,0,256,316,0,2.4568655E-05,2011
321,321,BHM,31,2004,34000,1,0,253,322,0,2.4163162E-05,2011
322,322,BHM,31,2005,36000,1,0,266,329,0,2.4780247E-05,2011
323,323,BHM,31,2006,48000,1,0,271,336,0,2.627462E-05,2011
324,324,BHM,31,2007,58000,1,0,286,342,0,2.7121456E-05,2011
325,325,BHM,31,2008,49000,1,0,251,348,0,2.4877036E-05,2011
326,326,BHM,31,2009,49000,1,0,228,354,0,2.4391251E-05,2011
327,327,BHM,31,2010,47000,1,0,234,360,0,2.389162E-05,2011
328,328,BHM,31,2011,50000,1,0,227,366,0,2.4083607E-05,2011
329,329,BHM,31,2012,55000,1,0,261,372,0,2.491429E-05,2011
330,330,CUB,40,1902,,3,0,5,1760,262,0.0011214954,2011
331,331,CUB,40,1903,,3,0,5,1840,266,0.0011200034,2011
332,332,CUB,40,1904,,4,0,5,1880,271,0.0011527566,2011
333,333,CUB,40,1905,,4,0,6,1930,275,0.0011217024,2011
334,334,CUB,40,1906,6161,4,0,5,1980,279,0.0034079426,2011
335,335,CUB,40,1909,,5,0,11,2150,294,0.0011668679,2011
336,336,CUB,40,1910,,5,0,12,2220,301,0.0011720996,2011
337,337,CUB,40,1911,,5,0,23,2290,309,0.0011660646,2011
338,338,CUB,40,1912,,5,0,16,2360,316,0.0011763652,2011
339,339,CUB,40,1913,7293,11,0,8,2410,324,0.0031744451,2011
340,340,CUB,40,1914,,13,0,8,2510,330,0.0014208881,2011
341,341,CUB,40,1915,,15,0,13,2590,336,0.0011777733,2011
342,342,CUB,40,1916,,18,0,20,2660,341,0.0012201079,2011
343,343,CUB,40,1917,,19,0,14,2750,348,0.0012402491,2011
344,344,CUB,40,1918,,19,0,21,2830,354,0.0012452207,2011
345,345,CUB,40,1919,14374,18,0,19,2910,361,0.001353588,2011
346,346,CUB,40,1920,16979,18,0,21,3000,378,0.0016700639,2011
347,347,CUB,40,1921,17444,18,0,23,3080,393,0.0017549171,2011
348,348,CUB,40,1922,14133,12,0,10,3180,418,0.0016550444,2011
349,349,CUB,40,1923,9506,12,0,15,3260,437,0.0015931007,2011
350,350,CUB,40,1924,9516,12,0,13,3350,459,0.0017829695,2011
351,351,CUB,40,1925,12043,13,0,26,3430,485,0.001845168,2011
352,352,CUB,40,1926,12471,13,0,30,3520,511,0.001876415,2011
353,353,CUB,40,1927,12313,13,0,30,3610,548,0.0018457342,2011
354,354,CUB,40,1928,12846,13,0,29,3510,581,0.0017728058,2011
355,355,CUB,40,1929,12734,13,0,32,3580,644,0.001798469,2011
356,356,CUB,40,1930,11988,13,0,33,3650,691,0.0017735991,2011
357,357,CUB,40,1931,10100,13,0,29,3960,740,0.0017968075,2011
358,358,CUB,40,1932,9795,13,0,26,3960,802,0.0018920132,2011
359,359,CUB,40,1933,7894,13,0,26,3960,867,0.0018172119,2011
360,360,CUB,40,1934,12195,13,0,29,4040,901,0.0018243855,2011
